scenario_name,scheduler_name,node_count,duration_ticks,wall_clock_seconds,total_wakes,emergency_wakes,emergency_broadcasts,average_interval_seconds,average_final_battery,nodes_dead,ignition_tick,first_emergency_tick,detection_latency_ticks
low_risk,fixed_dtc_baseline,150,1440,1.5563523650002935,43200,0,0,300.0,83.29600000000619,0,,,
low_risk,adaptive_rule_based,150,1440,0.9172350179997011,21600,0,0,600.0,90.20800000000645,0,,,
low_risk,adaptive_ml,150,1440,26.085767616999874,21667,0,0,598.6984815618222,90.18656000000645,0,,,
medium_risk,fixed_dtc_baseline,150,1440,1.6698400870000114,43200,0,0,300.0,83.29600000000619,0,,,
medium_risk,adaptive_rule_based,150,1440,1.7116085640000165,42934,0,0,301.8586667908883,83.38112000000619,0,,,
medium_risk,adaptive_ml,150,1440,50.17521249799984,43198,0,0,300.01388953192276,83.29664000000619,0,,,
wildfire,fixed_dtc_baseline,150,1440,1.558312295000178,43200,1027,0,300.0,83.29600000000619,0,537,655,118
wildfire,adaptive_rule_based,150,1440,2.5273187859993413,64110,5145,29864,377.9714553111839,76.60480000000594,0,537,653,116
wildfire,adaptive_ml,150,1440,77.07838512699982,63872,4122,23923,300.8200776553106,76.68096000000594,0,537,658,121
large_scale,adaptive_rule_based,600,1440,8.922870024000076,254151,12343,130790,380.5178417554918,76.78792000000594,0,587,704,117
stress_test,adaptive_rule_based,1200,2880,34.83481265699993,1007001,33593,526498,404.22344168476496,53.95996000000937,0,1639,1865,226
